country	beer	wine	spirits	other
Albania	32	20	48	0
Algeria	63	36	0	2
Andorra	35	45	20	0
Angola	64	14	17	5
Antigua and Barbuda	36	16	47	0
Argentina	41	48	6	6
Armenia	10	5	85	0
Australia	44	37	13	7
Austria	50	36	14	0
Azerbaijan	29	8	63	0
Bahamas	34	15	50	1
Bahrain	37	6	57	0
Barbados	40	10	49	1
Belarus	17	5	47	31
Belgium	49	36	14	0
Belize	68	2	30	0
Benin	55	22	7	17
Bhutan	100	0	0	0
Bolivia (Plurinational State of)	77	4	19	0
Bosnia and Herzegovina	29	3	68	0
Botswana	56	12	12	21
Brazil	60	4	36	0
Brunei Darussalam	90	2	7	1
Bulgaria	39	17	44	0
Burkina Faso	10	3	3	84
Burundi	25	0	0	75
Cote d'Ivoire	16	3	0	81
Cabo Verde	63	7	25	4
Cambodia	46	1	54	0
Cameroon	44	1	0	54
Canada	51	22	27	0
Central African Republic	16	1	2	81
Chad	66	3	4	27
Chile	30	41	29	0
China	28	3	69	0
Colombia	66	1	33	0
Comoros	23	22	55	0
Congo	78	10	11	1
Cook Islands	0	23	77	0
Costa Rica	59	5	36	1
Croatia	40	45	15	0
Cuba	39	2	59	0
Cyprus	41	25	34	1
Czech Republic	54	21	26	0
Democratic Republic of the Congo	24	1	2	73
Denmark	38	48	14	0
Djibouti	23	5	72	0
Dominica	14	7	78	1
Dominican Republic	55	3	43	0
Ecuador	67	1	32	0
Egypt	54	5	40	1
El Salvador	42	2	57	0
Equatorial Guinea	28	72	0	0
Eritrea	64	0	0	36
Estonia	41	11	37	11
Ethiopia	50	1	8	42
Fiji	68	1	31	0
Finland	46	18	24	13
France	19	56	23	2
Gabon	68	12	20	0
Gambia	6	1	0	93
Georgia	17	50	33	0
Germany	54	28	19	0
Ghana	30	10	3	57
Greece	28	47	24	0
Grenada	29	4	66	0
Guatemala	42	2	56	0
Guinea	79	16	4	1
Guinea-Bissau	20	15	22	43
Guyana	23	0	77	0
Haiti	0	0	100	0
Honduras	40	1	59	0
Hungary	36	29	34	0
Iceland	62	21	17	1
India	7	0	93	0
Indonesia	85	0	15	0
Iraq	76	1	23	0
Ireland	48	26	19	7
Israel	44	6	50	0
Italy	23	66	12	0
Jamaica	42	5	51	2
Japan	19	4	52	25
Jordan	22	2	75	0
Kazakhstan	32	3	65	0
Kenya	56	2	22	21
Kiribati	37	2	61	0
Kuwait	58	11	31	0
Kyrgyzstan	23	4	73	0
Lao People's Democratic Republic	36	0	64	0
Latvia	47	11	37	5
Lebanon	18	29	52	0
Lesotho	51	0	19	30
Liberia	11	1	88	0
Lithuania	47	8	34	12
Luxembourg	36	43	21	0
Madagascar	56	10	35	0
Malawi	9	1	13	76
Malaysia	76	2	22	0
Mali	13	2	2	83
Malta	39	33	27	1
Mauritius	66	12	21	0
Mexico	76	2	22	1
Micronesia (Federated States of)	47	14	39	0
Mongolia	28	3	70	0
Montenegro	11	47	42	0
Morocco	44	37	20	0
Mozambique	63	7	25	4
Myanmar	83	6	12	0
Namibia	97	0	1	2
Nauru	85	15	0	0
Nepal	48	1	51	0
Netherlands	47	36	17	0
New Zealand	38	34	15	13
Nicaragua	39	1	61	0
Niger	46	13	41	0
Nigeria	8	0	1	91
Niue	47	2	51	0
Norway	44	35	19	2
Oman	55	3	42	0
Palau	78	6	16	0
Panama	69	5	26	0
Papua New Guinea	51	1	48	0
Paraguay	51	18	29	2
Peru	47	6	47	0
Philippines	27	0	73	0
Poland	55	9	36	0
Portugal	31	56	11	3
Qatar	1	14	85	0
Republic of Korea	25	2	3	70
Republic of Moldova	30	5	65	0
Romania	50	29	21	0
Russian Federation	38	11	51	0
Rwanda	11	0	0	89
Saint Kitts and Nevis	44	7	48	1
Saint Lucia	30	13	56	2
Saint Vincent and the Grenadines	33	3	63	1
Samoa	71	17	13	0
Sao Tome and Principe	24	60	16	0
Saudi Arabia	0	2	98	0
Senegal	55	41	4	0
Serbia	52	24	25	0
Seychelles	67	22	11	0
Sierra Leone	6	1	1	92
Singapore	70	14	15	2
Slovakia	30	18	46	5
Slovenia	45	47	9	0
Solomon Islands	81	2	17	0
South Africa	48	18	17	17
Spain	50	20	28	2
Sri Lanka	13	0	85	2
Sudan	8	0	14	79
Suriname	40	2	57	1
Swaziland	34	1	1	65
Sweden	37	47	15	1
Switzerland	32	49	18	1
Syrian Arab Republic	9	28	64	0
Tajikistan	10	1	89	0
Thailand	27	0	73	0
Former Yugoslav republic of Macedonia	47	40	13	0
Timor-Leste	9	76	15	0
Togo	49	27	2	22
Tonga	58	8	34	0
Trinidad and Tobago	54	2	44	0
Tunisia	69	28	4	0
Turkey	64	9	28	0
Turkmenistan	15	26	58	0
Tuvalu	10	16	75	0
Uganda	9	0	2	89
Ukraine	41	9	48	3
United Arab Emirates	10	3	87	0
United Kingdom	37	34	22	8
United Republic of Tanzania	11	0	2	87
United States of America	50	17	33	0
Uruguay	31	60	10	0
Uzbekistan	18	6	75	0
Vanuatu	41	23	37	0
Venezuela (Bolivarian Republic of)	76	1	23	0
Viet Nam	97	1	2	0
Yemen	100	0	0	0
Zambia	23	3	14	61
Zimbabwe	24	2	7	68
